# For 75 gr .223 steel Match
# From Hornday website
# Wind is 4 m/s = 14.4 km/hr
# = 9 miles/hr
# Units are meters / mils
#
Range  Elev Wind
25     1     0.1
50     0.1   0.1
75     0     0.2
100    0     0.2
125    0.1   0.3
150    0.2   0.3
175    0.4   0.4
200    0.6   0.4
225    0.8   0.5
250    1     0.6
275    1.2   0.6
300    1.4   0.7
325    1.7   0.8
350    1.9   0.8
375    2.2   0.9
400    2.5   1
425    2.8   1
450    3.1   1.1
475    3.4   1.2
500    3.7   1.3
525    4.1   1.3
550    4.4   1.4
575    4.8   1.5
600    5.2   1.6
625    5.6   1.7
650    6     1.8
675    6.5   1.9
700    7     2
725    7.4   2
750    7.9   2.1
775    8.5   2.2
800    9     2.3
