75 gr .223 2750 fps     
G1 0.395
10 mph wind

M     Elev  Wind
0     0     0
25    0.6   0.1
50    0     0.1
75    0.1   0.2
100   0     0.2
125   0.1   0.3
150   0.3   0.4
175   0.5   0.4
200   0.6   0.5
225   0.9   0.6
250   1.1   0.6
275   1.3   0.7
300   1.6   0.8
325   1.8   0.9
350   2.1   0.9
375   2.4   1
400   2.6   1.1
425   3     1.2
450   3.3   1.3
475   3.6   1.3
500   3.9   1.4
525   4.3   1.5
550   4.7   1.6
575   5.1   1.7
600   5.5   1.8
625   5.9   1.9
650   6.3   2
675   6.8   2.1
700   7.3   2.2
725   7.8   2.3
750   8.3   2.4
775   8.8   2.5
800   9.4   2.7
825   10    2.8
850   10.6  2.9
875   11.2  3
900   11.9  3.1
925   12.6  3.2
950   13.3  3.4
975   14    3.5
1000  14.8  3.6
