ammo,inches
sk_rifle_match,1.563
sk_rifle_match,0.821
sk_rifle_match,0.900
sk_rifle_match,0.881
sk_rifle_match,0.606
sk_rifle_match,0.589
sk_rifle_match,0.916
sk_rifle_match,0.821
sk_rifle_match,0.534
sk_rifle_match,0.879
rws_target_rifle,1.728
rws_target_rifle,1.799
rws_target_rifle,1.866
rws_target_rifle,1.997
rws_target_rifle,1.978
rws_target_rifle,0.968
rws_target_rifle,2.283
rws_target_rifle,1.874
rws_target_rifle,2.015
rws_target_rifle,1.654
norma,2.716
norma,1.415
norma,1.346
norma,1.566
norma,1.709
norma,1.331
norma,2.439
norma,2.316
norma,1.949
norma,1.573
eley_target_yellow,1.934
eley_target_yellow,1.109
eley_target_yellow,1.148
eley_target_yellow,1.617
eley_target_yellow,0.692
eley_target_yellow,0.851
eley_target_yellow,1.020
eley_target_yellow,1.008
eley_target_yellow,1.332
eley_target_yellow,0.647
