QEatZeroRange(deg),   0.0567609
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2770.,     1363.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6145,   -0.0009,    0.0000,    0.0000
      100.,     2583.,     1185.,    0.0000,    0.0000,    0.0000,    0.6769,    0.6464,    0.1880,   -0.0384,   -0.0367,   -0.0107,    0.1121,    1.7797,    0.3050,    0.2913,    0.0847
      200.,     2403.,     1025.,   -3.7145,   -1.7737,   -0.5159,    2.8073,    1.3405,    0.3899,   -0.1634,   -0.0780,   -0.0227,    0.2326,    1.9528,    0.6098,    0.2912,    0.0847
      300.,     2228.,      881.,  -13.4578,   -4.2841,   -1.2461,    6.5668,    2.0904,    0.6080,   -0.3904,   -0.1243,   -0.0361,    0.3622,    2.1435,    0.9144,    0.2911,    0.0847
      400.,     2057.,      752.,  -30.2169,   -7.2143,   -2.0984,   12.1663,    2.9047,    0.8449,   -0.7371,   -0.1760,   -0.0512,    0.5023,    2.3726,    1.2189,    0.2910,    0.0846
      500.,     1892.,      636.,  -55.2019,  -10.5436,   -3.0668,   19.8656,    3.7943,    1.1036,   -1.2249,   -0.2340,   -0.0680,    0.6544,    2.6270,    1.5230,    0.2909,    0.0846
      600.,     1730.,      531.,  -89.9219,  -14.3126,   -4.1631,   29.9884,    4.7732,    1.3884,   -1.8788,   -0.2990,   -0.0870,    0.8202,    2.9022,    1.8268,    0.2908,    0.0846
      700.,     1572.,      439., -136.2895,  -18.5939,   -5.4083,   42.9414,    5.8584,    1.7040,   -2.7281,   -0.3722,   -0.1083,    1.0021,    3.2199,    2.1301,    0.2906,    0.0845
      800.,     1419.,      358., -196.7603,  -23.4884,   -6.8320,   59.2228,    7.0697,    2.0563,   -3.8086,   -0.4547,   -0.1322,    1.2029,    3.7000,    2.4331,    0.2904,    0.0845
      900.,     1272.,      287., -274.5442,  -29.1325,   -8.4737,   79.4607,    8.4316,    2.4525,   -5.1697,   -0.5486,   -0.1596,    1.4262,    4.3558,    2.7355,    0.2903,    0.0844
     1000.,     1132.,      228., -373.8934,  -35.7075,  -10.3861,  104.4189,    9.9720,    2.9005,   -6.8688,   -0.6560,   -0.1908,    1.6763,    4.9802,    3.0376,    0.2901,    0.0844
